,text,diggCount,createTimeISO,cleaned_text,normalized_text,roberta_label,roberta_score,roberta_sentiment
0,"setiap bahlil ngomong, kiamat maju 1jam",87436,2025-10-09 03:10:07+00:00,setiap bahlil ngomong  kiamat maju 1jam,setiap bahlil ngomong kiamat maju 1jam,,0.9766460061073303,0
2,kayaknya si bahlil terinspirasi dari karakter ini😭😭😭,17011,2025-10-09 05:47:57+00:00,kayaknya si bahlil terinspirasi dari karakter ini😭😭,kayaknya si bahlil terinspirasi dari karakter ini😭😭,1.0,0.9970892071723938,1
3,kok mirip ya😹,14029,2025-10-09 05:04:40+00:00,kok mirip ya😹,kok mirip ya😹,0.0,0.8171267509460449,0
4,campuran etanol 10%. korupsinya berapa persen? 🤣,30811,2025-10-09 02:23:03+00:00,campuran etanol 10 . korupsinya berapa persen? 🤣,campuran etanol 10 . korupsinya berapa persen? 🤣,0.0,0.9993038177490234,0
5,bayar pajaknya boleh campur pake daun singkong?,5802,2025-10-09 05:32:20+00:00,bayar pajaknya boleh campur pake daun singkong?,bayar pajaknya boleh campur pake daun singkong?,,0.9920477271080017,0
6,hebatkan menteri gw,2468,2025-10-09 04:19:11+00:00,hebatkan menteri gw,hebatkan menteri saya,0.0,0.9979828596115112,0
7,"pak prabowo . . ini pejabat anda kok masih dipakai , ini menghancurkan",261,2025-10-09 06:53:58+00:00,pak prabowo . . ini pejabat anda kok masih dipakai   ini menghancurkan,pak prabowo . . ini pejabat anda kok masih dipakai ini menghancurkan,0.0,0.9994200468063354,0
8,cari rumah bahlil,194,2025-10-09 08:05:37+00:00,cari rumah bahlil,cari rumah bahlil,,0.6651028990745544,0
9,"yang kmrn campuran ethanol dikit aja tanki cepat karat, apalgi skrng mau di tambah jadi 10% 🗿",32,2025-10-09 06:03:01+00:00,yang kmrn campuran ethanol dikit aja tanki cepat karat  apalgi skrng mau di tambah jadi 10  🗿,yang kemarin campuran ethanol dikit aja tanki cepat karat apalgi skrng mau di tambah jadi 10 🗿,,0.9346848726272583,0
10,ko bisa jadi menteri,4464,2025-10-09 01:58:17+00:00,ko bisa jadi menteri,ko bisa jadi menteri,,0.9935985803604126,0
11,pecat dia,18,2025-10-09 04:58:52+00:00,pecat dia,pecat dia,0.0,0.9993268251419067,0
13,"Bahlil niat nya uda bener jual bensin sampah agar kendaraan motor di indo pada rusak semua, jadi ramah lingkungan karena gak ada motor/mobil yang jalan 🤤",65,2025-10-09 02:38:07+00:00,bahlil niat nya uda bener jual bensin sampah agar kendaraan motor di indo pada rusak semua  jadi ramah lingkungan karena gak ada motor mobil yang jalan,bahlil niat nya uda benar jual bensin sampah agar kendaraan motor di indo pada rusak semua jadi ramah lingkungan karena tidak ada motor mobil yang jalan,0.0,0.9964931607246399,0
15,kapan nih silaturahmi k remah Bahlil 🤭,701,2025-10-09 02:41:47+00:00,kapan nih silaturahmi k remah bahlil 🤭,kapan nih silaturahmi k remah bahlil 🤭,,0.994024932384491,0
16,kacau pejabat2 kt,9,2025-10-09 05:11:08+00:00,kacau pejabat2 kt,kacau pejabat2 kt,0.0,0.999377965927124,0
18,kalau tujuannya gak banyak impor apa susah nya bangun kilang di negara sendiri dari pada mencampur etanol😹,673,2025-10-09 02:45:51+00:00,kalau tujuannya gak banyak impor apa susah nya bangun kilang di negara sendiri dari pada mencampur etanol😹,kalau tujuannya tidak banyak impor apa susah nya bangun kilang di negara sendiri dari pada mencampur etanol😹,0.0,0.9288604259490967,0
19,Bahlil B nya apa?,7,2025-10-09 05:17:03+00:00,bahlil b nya apa?,bahlil b nya apa?,0.0,0.9922879934310913,0
20,ayo kita TURUN KEMBALI KEJALAN,216,2025-10-09 03:22:52+00:00,ayo kita turun kembali kejalan,ayo kita turun kembali kejalan,,0.8927090167999268,0
21,sekalinya ngomong bikin emosi orang😂😂😂,18,2025-10-09 08:26:54+00:00,sekalinya ngomong bikin emosi orang😂😂,sekalinya ngomong bikin emosi orang😂😂,0.0,0.9993230104446411,0
22,untuk bersih,42,2025-10-09 03:31:20+00:00,untuk bersih,untuk bersih,1.0,0.9872806668281555,1
23,ada ya mentri kek gini,10,2025-10-09 09:26:23+00:00,ada ya mentri kek gini,ada ya mentri kek gini,0.0,0.9978460073471069,0
24,Bahlil B nya apa guys?,4068,2025-10-09 02:32:37+00:00,bahlil b nya apa guys?,bahlil b nya apa guys?,0.0,0.9753823280334473,0
26,terang terangan gini anjir 🗿,2091,2025-10-09 03:27:55+00:00,terang terangan gini anjir 🗿,terang terangan gini anjing 🗿,0.0,0.9925274848937988,0
27,bahlil b nya apa? BELERRR,42,2025-10-09 03:21:15+00:00,bahlil b nya apa? belerr,bahlil b nya apa? belerr,0.0,0.9765720963478088,0
29,bahlil setelah berhasil membuat 10% ETATOL,26,2025-10-09 04:05:53+00:00,bahlil setelah berhasil membuat 10  etatol,bahlil setelah berhasil membuat 10 etatol,,0.9976567029953003,0
30,"Pertamina rugi ❌
rakyat rugi ✅",8,2025-10-10 13:35:49+00:00,"pertamina rugi ❌
rakyat rugi ✅",pertamina rugi ❌ rakyat rugi ✅,0.0,0.9984899759292603,0
32,akun bahlil komennya diprivat takut dia😆,774,2025-10-28 12:24:57+00:00,akun bahlil komennya diprivat takut dia😆,akun bahlil komennya diprivat takut dia😆,0.0,0.9990131855010986,0
33,pak persiden tolong ganti BAHLIL 😳,7,2025-10-09 13:38:52+00:00,pak persiden tolong ganti bahlil,pak persiden tolong ganti bahlil,,0.9988943934440613,0
34,Sebutin nama lengkap Bahlil,6,2025-10-09 21:20:04+00:00,sebutin nama lengkap bahlil,sebutin nama lengkap bahlil,,0.9973612427711487,0
35,bahlil bikin 1 keputusan kiamat maju selangkah,5,2025-10-09 12:59:24+00:00,bahlil bikin 1 keputusan kiamat maju selangkah,bahlil bikin 1 keputusan kiamat maju selangkah,,0.9969184398651123,0
36,dia bicara ramah lingkungan sementara raja Ampat dibikin hancur,9,2025-10-09 12:16:05+00:00,dia bicara ramah lingkungan sementara raja ampat dibikin hancur,dia bicara ramah lingkungan sementara raja ampat dibikin hancur,0.0,0.9642256498336792,0
37,utk kendaraan bpk saja smua,5,2025-10-09 06:56:47+00:00,utk kendaraan bpk saja smua,utk kendaraan bpk saja smua,,0.7869569659233093,0
38,LIHAT NOH,21,2025-10-13 06:10:11+00:00,lihat noh,lihat noh,0.0,0.9146466851234436,0
39,Bahlil = BAHLUL 😂🤣😂🤣😂🤣,5,2025-10-09 08:23:23+00:00,bahlil   bahlul 😂🤣😂🤣😂🤣,bahlil bahlul 😂🤣😂🤣😂🤣,1.0,0.9899426698684692,1
40,"beli motor mahal2, bensin nya di campur etanol🤣",8,2025-10-09 08:42:34+00:00,beli motor mahal2  bensin nya di campur etanol🤣,beli motor mahal2 bensin nya di campur etanol🤣,0.0,0.9795188307762146,0
41,"PERMASALAHANNYA, KOMPOSISI ETANOL ""LEBIH DARI 10%"" PADA BENSIN",5,2025-10-09 05:59:45+00:00,permasalahannya  komposisi etanol  lebih dari 10   pada bensin,permasalahannya komposisi etanol lebih dari 10 pada bensin,,0.954619824886322,0
42,Apa perlu demo lagi?,9,2025-10-09 06:21:11+00:00,apa perlu demo lagi?,apa perlu demo lagi?,0.0,0.99880051612854,0
43,segera diganti bpk Prabowo bahlil ini,30,2025-10-09 03:11:38+00:00,segera diganti bpk prabowo bahlil ini,segera diganti bpk prabowo bahlil ini,,0.9902732968330383,0
44,yokkk demoo lagii demooo lagii,7,2025-10-09 05:20:39+00:00,yokk demoo lagii demoo lagii,yokk demoo lagii demoo lagii,0.0,0.9825635552406311,0
45,dukun bahlil kuat bener dah kaga diganti ganti,12,2025-10-09 04:18:22+00:00,dukun bahlil kuat bener dah kaga diganti ganti,dukun bahlil kuat benar dah kaga diganti ganti,1.0,0.6841621398925781,1
46,bahlil kalo pulang lewat mana si,9,2025-10-09 11:04:18+00:00,bahlil kalo pulang lewat mana si,bahlil kalau pulang lewat mana si,,0.9171487092971802,0
47,info yang punya sniper 🥰,6,2025-10-09 03:35:41+00:00,info yang punya sniper 🥰,info yang punya sniper 🥰,,0.9987168312072754,0
48,dari buku panduan,11,2025-10-12 14:14:00+00:00,dari buku panduan,dari buku panduan,,0.6992390751838684,0
49,halahhhh rasengan,85,2025-10-09 04:36:34+00:00,halahh rasengan,halahh rasengan,0.0,0.9897034764289856,0
50,ngomng di hadapan orang2 yang kerusakan kendaraanya di tanggung pemerintah,14,2025-10-09 06:08:30+00:00,ngomng di hadapan orang2 yang kerusakan kendaraanya di tanggung pemerintah,ngomng di hadapan orang2 yang kerusakan kendaraanya di tanggung pemerintah,0.0,0.9902948141098022,0
51,kenapa dia gk di geser dari mentri,711,2025-10-09 02:33:21+00:00,kenapa dia gk di geser dari mentri,kenapa dia tidak di geser dari mentri,0.0,0.8950111865997314,0
52,masa iya presiden kalah sama bahlil,15,2025-10-14 04:45:25+00:00,masa iya presiden kalah sama bahlil,masa ya presiden kalah sama bahlil,0.0,0.9991317391395569,0
53,bahlil mandi apaa,26,2025-10-11 03:13:23+00:00,bahlil mandi apaa,bahlil mandi apaa,0.0,0.9180107712745667,0
54,etanol adalah bahlul... taukan maksutku😏,6,2025-10-09 13:52:29+00:00,etanol adalah bahlul.. taukan maksutku😏,etanol adalah bahlul.. taukan maksutku😏,0.0,0.9986295700073242,0
55,"jgn liat bahlil dari sisi negatif nya aja, sesekali coba liat dari sisi positif nya pasti gak bakalan ada..",5,2025-10-09 04:04:41+00:00,jgn liat bahlil dari sisi negatif nya aja  sesekali coba liat dari sisi positif nya pasti gak bakalan ada..,jangan liat bahlil dari sisi negatif nya aja sesekali coba liat dari sisi positif nya pasti tidak bakalan ada..,0.0,0.7880573272705078,0
56,negara penghasil minyak bumi sampai impor🗿,6,2025-10-09 05:31:52+00:00,negara penghasil minyak bumi sampai impor🗿,negara penghasil minyak bumi sampai impor🗿,,0.6659765243530273,0
58,makasih bang udah bantu speak up manusia itu,5,2025-10-09 10:12:07+00:00,makasih bang udah bantu speak up manusia itu,terima kasih bang sudah bantu speak up manusia itu,1.0,0.9697688221931458,1
59,udh deh gini aja skrng gmna klo kita bayar pajak 1 % pake uang nah 90% nya pake daun pisang,28,2025-10-09 04:47:25+00:00,udh deh gini aja skrng gmna klo kita bayar pajak 1   pake uang nah 90  nya pake daun pisang,sudah deh gini aja skrng gimana kalau kita bayar pajak 1 pake uang nah 90 nya pake daun pisang,,0.8499961495399475,0
