"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"setiap bahlil ngomong, kiamat maju 1jam","87436","977","2025-10-09T03:10:07.000Z","ikmalbhrlm","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6962567982649541633","7559053960901559058","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bfc5a95ea6d093c9aadc034d6073b271~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2e5dc4f6&x-expires=1763467200&x-signature=jpRAW%2BLIGvKZ2q9OvLL8c2pPjxA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"buku panduan","49090","185","2025-10-09T05:09:12.000Z","bang.kholis96","https://www.tiktok.com/@dj_donny/video/7559032838645894408","7384053991606486022","7559084636891480853","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2c286da847ec85b463c2f4ce89609558~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f00480d5&x-expires=1763467200&x-signature=TEeCpGHkN3X320t%2FrDd9pCEjPHs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kayaknya si bahlil terinspirasi dari karakter ini😭😭😭","17011","105","2025-10-09T05:47:57.000Z","user4444_119","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6962785913933235202","7559094616738661121","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/330dbb6b2b320d63bc1a07d6bd12c0ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b53ae440&x-expires=1763467200&x-signature=LTabzzxn99ZfVLSWLpHZkM1GC18%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kok mirip ya😹","14029","134","2025-10-09T05:04:40.000Z","symfahri3","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6632464555773607937","7559083478210904849","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d57416b65d5e6f3e65776ac2519e88ad~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2537239d&x-expires=1763467200&x-signature=oCChGGHKjAZRXJycIWmOJKGh0m4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"campuran etanol 10%. korupsinya berapa persen? 🤣","30811","60","2025-10-09T02:23:03.000Z","whyfirmann","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6991736734669325314","7559041842743132936","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5d874b2f26be0221f8188691f96e341c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6145435a&x-expires=1763467200&x-signature=3q1GoVvdYRZ9Q3%2B%2BzM4twpUonGA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"bayar pajaknya boleh campur pake daun singkong?","5802","61","2025-10-09T05:32:20.000Z","nanass6722","https://www.tiktok.com/@dj_donny/video/7559032838645894408","7001800909123224578","7559090616089707271","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ae6ea20d48fda768403021d49e7793f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=12da4cc6&x-expires=1763467200&x-signature=hhuIx0RR5UoGJq5POpDaOuij%2BXI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"hebatkan menteri gw","2468","89","2025-10-09T04:19:11.000Z","jeeeeeeennnnnnnn","https://www.tiktok.com/@dj_donny/video/7559032838645894408","7326369577897362438","7559071754103800594","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f00746e7a380ef5ee05e5ee0ad702cc3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c2737e89&x-expires=1763467200&x-signature=w6S%2FMOUrKtgd0ZxZudaQEihO74A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"pak prabowo . . ini pejabat anda kok masih dipakai , ini menghancurkan","261","28","2025-10-09T06:53:58.000Z","dianningrum698","https://www.tiktok.com/@dj_donny/video/7559032838645894408","7068086333814424577","7559110975212651271","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/6ec615043bbc953691c3370b712e2005~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=02663997&x-expires=1763467200&x-signature=3OlKL5zsPM69XVBojGyQLlavt9M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"cari rumah bahlil","194","8","2025-10-09T08:05:37.000Z","vixiborneo","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6877844262630294529","7559130115406365448","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c9223ea065aecaaf48c75aa0477f7b7f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70c38323&x-expires=1763467200&x-signature=bdUOvdmJyLvKd34v2TrBOGRFt%2Bk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"yang kmrn campuran ethanol dikit aja tanki cepat karat, apalgi skrng mau di tambah jadi 10% 🗿","32","35","2025-10-09T06:03:01.000Z","violensiusherry","https://www.tiktok.com/@dj_donny/video/7559032838645894408","6519671506572836865","7559098485888353025","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3c739ac479a68a993266e37224628113~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f2894f52&x-expires=1763467200&x-signature=lI3Q2NXdBC21YdnWINutTqC7jzk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ko bisa jadi menteri","4464","37","2025-10-09T01:58:17.000Z","tikitaka9393","https://www.tiktok.com/@dj_donny/video/7559032838645894408","7013918940997796870","7559035422472061697","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a819642f32c7c39d420583910fb2994b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9284e5f&x-expires=1763467200&x-signature=eCcd%2FLzus4QPutcmx2v81Qf3mGg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
